Project,Round,Site,Seine#,Common,Length_mm,Count,checkID,Notes,Weight_damp_g
CMI,2,Glacier Spit,2,Pacific Herring,33,1,,,
CMI,2,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,2,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,2,Glacier Spit,2,Pacific Herring,35,1,,,
CMI,2,Glacier Spit,2,Saffron Cod (J),42,1,,Deceased,
CMI,2,Glacier Spit,2,Saffron Cod (J),56,1,,,
CMI,2,Glacier Spit,2,Tidepool Sculpin,48,1,,,
CMI,2,Glacier Spit,2,Tidepool Sculpin,29,1,,,
CMI,2,Glacier Spit,3,Dolly Varden,357,1,,,
CMI,2,Glacier Spit,3,Dolly Varden,332,1,,,
CMI,2,Glacier Spit,3,Saffron Cod (J),72,1,,,
CMI,2,Glacier Spit,3,Saffron Cod (J),195,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,105,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,230,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,120,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,110,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,41,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,40,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,38,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,38,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,37,1,,,
CMI,2,Glacier Spit,3,Great Sculpin,34,1,,,
CMI,2,Glacier Spit,3,Starry Flounder,254,1,,,
CMI,2,Glacier Spit,3,Starry Flounder,555,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,41,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,25,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,30,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,41,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,36,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,29,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,31,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,33,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,31,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,36,1,,,
CMI,2,Glacier Spit,3,Tidepool Sculpin,30,1,,,
CMI,2,Glacier Spit,3,Pacific Sand Lance,119,1,,One Pacific Sand Lance for Kim.,
CMI,2,Glacier Spit,3,Pacific Sand Lance,106,1,,One Pacific Sand Lance for Kim.,
CMI,2,Glacier Spit,3,Pacific Sand Lance,127,1,,One Pacific Sand Lance for Kim.,
CMI,2,Glacier Spit,3,Pacific Sand Lance,119,1,,One Pacific Sand Lance for Kim.,
CMI,2,Glacier Spit,3,Pacific Sand Lance,121,1,,One Pacific Sand Lance for Kim.,
CMI,2,Glacier Spit,3,Pacific Sand Lance,118,1,,One Pacific Sand Lance for Kim.,
CMI,2,Glacier Spit,3,Pacific Sand Lance,122,1,,One Pacific Sand Lance for Kim.,
CMI,2,Glacier Spit,3,English Sole,77,1,,,
CMI,2,Glacier Spit,3,Rock Sole,42,1,,,
CMI,2,Glacier Spit,3,Unidentified Sculpin (J),,4,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,74,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,76,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,82,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,83,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,92,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,62,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,66,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,69,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,76,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,84,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,67,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,78,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,83,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,75,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,79,1,,,
CMI,2,Seldovia Harbor,1,Pink Salmon,71,1,,,
CMI,2,Seldovia Harbor,1,Saffron Cod (J),200,1,,,
CMI,2,Seldovia Harbor,1,Saffron Cod (J),80,1,,,
CMI,2,Seldovia Harbor,1,Saffron Cod (J),76,1,,,
CMI,2,Seldovia Harbor,1,Saffron Cod (J),73,1,,,
CMI,2,Seldovia Harbor,1,Saffron Cod (J),69,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,73,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,86,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,88,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,84,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,73,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,78,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,71,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,86,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,69,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,81,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,67,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,65,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,82,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,83,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,85,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,81,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,85,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,70,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,89,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,74,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,71,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,77,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,81,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,92,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,85,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,71,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon,87,1,,,
CMI,2,Seldovia Harbor,1,Chum Salmon (J),,1,,,
CMI,2,Seldovia Harbor,1,Coho Salmon,108,1,,,
CMI,2,Seldovia Harbor,1,Snailfish,28,1,,Pictures,
CMI,2,Seldovia Harbor,1,Great Sculpin,105,1,,,
CMI,2,Seldovia Harbor,1,Great Sculpin,223,1,,,
CMI,2,Seldovia Harbor,1,Great Sculpin,145,1,,,
CMI,2,Seldovia Harbor,1,Crescent Gunnel,102,1,,,
CMI,2,Seldovia Harbor,1,Crescent Gunnel,130,1,,,
CMI,2,Seldovia Harbor,1,Crescent Gunnel,190,1,,,
CMI,2,Seldovia Harbor,1,Sockeye Salmon,69,1,,,
CMI,2,Seldovia Harbor,1,Sockeye Salmon,94,1,,,
CMI,2,Seldovia Harbor,1,Sockeye Salmon,80,1,,,
CMI,2,Seldovia Harbor,1,Sockeye Salmon,68,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),69,1,,One Saffron Cod (J) for Kim.,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),75,1,,One Saffron Cod (J) for Kim.,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),71,1,,One Saffron Cod (J) for Kim.,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),67,1,,One Saffron Cod (J) for Kim.,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),72,1,,One Saffron Cod (J) for Kim.,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),77,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),70,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),69,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),72,1,,One Saffron Cod (J) for Kim.,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),65,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),71,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),62,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),67,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),67,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),64,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),70,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),69,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),68,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),77,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),68,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),64,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),67,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),74,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),67,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),65,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),67,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),67,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),72,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),81,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),68,1,,,
CMI,2,Seldovia Harbor,2,Saffron Cod (J),,76,,One Saffron Cod (J) for Kim.,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),77,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),73,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),65,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),72,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),70,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),64,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),68,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),70,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),72,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),77,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),74,1,,,
CMI,2,Seldovia Harbor,2,Pacific Cod (J),65,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,40,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,80,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,41,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,95,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,96,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,77,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,83,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,90,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,95,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,42,1,,,
CMI,2,Seldovia Harbor,2,Crescent Gunnel,89,1,,,
CMI,2,Seldovia Harbor,2,Coho Salmon,110,1,,,
CMI,2,Seldovia Harbor,2,Three Spine Stickleback,22,1,,,
CMI,2,Seldovia Harbor,2,Three Spine Stickleback,23,1,,,
CMI,2,Seldovia Harbor,2,Three Spine Stickleback,15,1,,,
CMI,2,Seldovia Harbor,2,Three Spine Stickleback,28,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,33,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,33,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,35,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,30,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,35,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,33,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,34,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,30,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,35,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,35,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,35,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,34,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,29,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,32,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,34,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,29,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,34,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,32,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,35,1,,,
CMI,2,Seldovia Harbor,2,Tidepool Sculpin,36,1,,,
CMI,2,Seldovia Harbor,2,Snake Prickleback,65,1,,,
CMI,2,Seldovia Harbor,2,Snake Prickleback,221,1,,,
CMI,2,Seldovia Harbor,2,Great Sculpin,90,1,,,
CMI,3,China Poot,1,Dolly Varden,169,1,,,
CMI,3,China Poot,1,Dolly Varden,143,1,,,
CMI,3,China Poot,1,Dolly Varden,153,1,,,
CMI,3,China Poot,1,Dolly Varden,168,1,,,
CMI,3,China Poot,1,Scalyhead Sculpin,74,1,,,
CMI,3,China Poot,1,Scalyhead Sculpin,79,1,,,
CMI,3,China Poot,1,Scalyhead Sculpin,80,1,,,
CMI,3,China Poot,1,Scalyhead Sculpin,80,1,,,
CMI,3,China Poot,1,Great Sculpin,103,1,,,
CMI,3,China Poot,1,Great Sculpin,102,1,,,
CMI,3,China Poot,1,Great Sculpin,143,1,,,
CMI,3,China Poot,1,Great Sculpin,109,1,,,
CMI,3,China Poot,1,Great Sculpin,108,1,,,
CMI,3,China Poot,1,Great Sculpin,106,1,,,
CMI,3,China Poot,1,Great Sculpin,105,1,,,
CMI,3,China Poot,1,Buffalo Sculpin,96,1,,,
CMI,3,China Poot,1,Buffalo Sculpin,87,1,,,
CMI,3,China Poot,1,Buffalo Sculpin,109,1,,,
CMI,3,China Poot,1,Buffalo Sculpin,93,1,,Pictures,
CMI,3,China Poot,1,Snailfish,35,1,,,
CMI,3,China Poot,1,Tidepool Sculpin,65,1,,,
CMI,3,China Poot,1,Tidepool Sculpin,79,1,,,
CMI,3,China Poot,1,Unidentified Sculpin,125,1,X,"Sculpin: white belly; banded pec, dorsal, caudal; forked operculum spine; pictures on someone's phone… possibly shorthorn?",
CMI,3,China Poot,1,Unidentified Sculpin,145,1,X,"Sculpin: white belly; banded pec, dorsal, caudal; forked operculum spine; pictures on someone's phone… possibly shorthorn?",
CMI,3,China Poot,2,Dolly Varden,190,1,,,
CMI,3,China Poot,2,Dolly Varden,243,1,,,
CMI,3,China Poot,2,Dolly Varden,215,1,,,
CMI,3,China Poot,2,Great Sculpin,102,1,,,
CMI,3,China Poot,2,Snailfish,8,1,,,
CMI,3,China Poot,2,Snailfish,30,1,,,
CMI,3,China Poot,2,Snailfish,28,1,,,
CMI,3,China Poot,2,White Spotted Greenling,79,1,,,
CMI,3,China Poot,2,White Spotted Greenling,76,1,,,
CMI,3,China Poot,2,Unidentified Sculpin (J),,61,,,
CMI,3,China Poot,2,Larval Fish,,2,,,
CMI,3,China Poot,3,Dolly Varden,149,1,,,
CMI,3,China Poot,3,Dolly Varden,194,1,,,
CMI,3,China Poot,3,Dolly Varden,154,1,,,
CMI,3,China Poot,3,Dolly Varden,164,1,,,
CMI,3,China Poot,3,Dolly Varden,285,1,,,
CMI,3,China Poot,3,Dolly Varden,217,1,,,
CMI,3,China Poot,3,Dolly Varden,172,1,,,
CMI,3,China Poot,3,Dolly Varden,138,1,,,
CMI,3,China Poot,3,Dolly Varden,166,1,,,
CMI,3,China Poot,3,Dolly Varden,157,1,,,
CMI,3,China Poot,3,Pacific Herring,45,1,,,
CMI,3,China Poot,3,Pacific Herring,50,1,,,
CMI,3,China Poot,3,Pacific Herring,30,1,,,
CMI,3,China Poot,3,Pacific Herring,39,1,,,
CMI,3,China Poot,3,Pacific Herring,42,1,,,
CMI,3,China Poot,3,Pacific Herring,42,1,,,
CMI,3,China Poot,3,Pacific Herring,40,1,,,
CMI,3,China Poot,3,Pacific Herring,37,1,,,
CMI,3,China Poot,3,Pacific Herring,45,1,,,
CMI,3,China Poot,3,Pacific Herring,36,1,,,
CMI,3,China Poot,3,Pacific Herring,42,1,,,
CMI,3,China Poot,3,Pacific Herring,43,1,,,
CMI,3,China Poot,3,Pacific Herring,41,1,,,
CMI,3,China Poot,3,Pacific Herring,40,1,,,
CMI,3,China Poot,3,Pacific Herring,34,1,,,
CMI,3,China Poot,3,Pacific Herring,43,1,,,
CMI,3,China Poot,3,Pacific Herring,36,1,,,
CMI,3,China Poot,3,Pacific Herring,35,1,,,
CMI,3,China Poot,3,Pacific Herring,46,1,,Voucher,
CMI,3,China Poot,3,Pacific Herring,38,1,,Voucher,
CMI,3,China Poot,3,White Spotted Greenling,73,1,,,
CMI,3,China Poot,3,Saffron Cod (J),211,1,,,
CMI,3,China Poot,3,Pacific Cod (J),150,1,,,
CMI,3,China Poot,3,Pacific Sand Lance,48,1,,,
CMI,3,China Poot,3,Pacific Sand Lance,49,1,,,
CMI,3,China Poot,3,Pacific Sand Lance,39,1,,,
CMI,3,China Poot,3,Pacific Sand Lance,46,1,,,
CMI,3,China Poot,3,White Spotted Greenling,74,1,,,
CMI,3,China Poot,3,White Spotted Greenling,83,1,,,
CMI,3,China Poot,3,Unidentified Sculpin (J),,8,,,
CMI,3,Glacier Spit,1,Pacific Herring,43,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,31,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,37,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,30,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,29,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,42,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,41,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,25,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,30,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,39,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,31,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,39,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,36,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,38,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,37,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,35,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,37,1,,,
CMI,3,Glacier Spit,1,Pacific Herring,,40,,,
CMI,3,Glacier Spit,1,Crescent Gunnel,85,1,,,
CMI,3,Glacier Spit,1,Unidentified Sculpin (J),,13,,,
CMI,3,Glacier Spit,1,Pacific Sand Lance,96,1,,,
CMI,3,Glacier Spit,1,Pacific Sand Lance,53,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,276,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,311,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,270,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,305,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,392,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,257,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,219,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,330,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,321,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,353,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,286,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,361,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,435,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,261,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,322,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,333,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,400,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,279,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,431,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,255,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,392,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,274,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,321,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,319,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,335,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,270,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,240,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,330,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,335,1,,,
CMI,3,Glacier Spit,2,Dolly Varden,285,1,,,
CMI,3,Glacier Spit,2,Dolly Varden (J),,1,,,
CMI,3,Glacier Spit,2,Pink Salmon,585,1,,,
CMI,3,Glacier Spit,2,Pink Salmon,515,1,,,
CMI,3,Glacier Spit,2,Unidentified Sculpin (J),,34,,,
CMI,3,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,31,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,30,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,28,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,29,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,35,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,31,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,36,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,36,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,36,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,2,Pacific Herring,29,1,,Deceased,
CMI,3,Glacier Spit,2,Pacific Sand Lance,116,1,,,
CMI,3,Glacier Spit,2,Pacific Sand Lance,118,1,,,
CMI,3,Glacier Spit,2,Pacific Sand Lance,110,1,,,
CMI,3,Glacier Spit,2,Pacific Sand Lance,105,1,,,
CMI,3,Glacier Spit,2,Pacific Sand Lance,125,1,,,
CMI,3,Glacier Spit,2,Pacific Sand Lance,55,1,,,
CMI,3,Glacier Spit,3,Starry Flounder,574,1,,,
CMI,3,Glacier Spit,3,Starry Flounder,468,1,,,
CMI,3,Glacier Spit,3,Starry Flounder,259,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,39,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,30,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,29,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,36,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,31,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,29,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,29,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,31,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,37,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,31,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,35,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,34,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,32,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,30,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,29,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,36,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,28,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,33,1,,,
CMI,3,Glacier Spit,3,Pacific Herring,,38,,,
CMI,3,Glacier Spit,3,Pacific Sand Lance,129,1,,,
CMI,3,Glacier Spit,3,Pacific Sand Lance,108,1,,,
CMI,3,Glacier Spit,3,Pacific Sand Lance,109,1,,,
CMI,3,Glacier Spit,3,Great Sculpin,45,1,,,
CMI,3,Glacier Spit,3,Great Sculpin,49,1,,,
CMI,3,Glacier Spit,3,Unidentified Sculpin,40,1,X,Sculpin - tidepool?,
CMI,3,Glacier Spit,3,Unidentified Sculpin,41,1,X,,
CMI,3,Glacier Spit,3,Unidentified Sculpin (J),,7,,,
CMI,3,Halibut Cove,1,White Spotted Greenling,87,1,,,
CMI,3,Halibut Cove,1,Staghorn Sculpin,319,1,,,
CMI,3,Halibut Cove,1,Rock Sole,20,1,,,
CMI,3,Halibut Cove,1,Rock Sole,170,1,,,
CMI,3,Halibut Cove,1,Rock Sole,181,1,,,
CMI,3,Halibut Cove,1,Rock Sole,122,1,,,
CMI,3,Halibut Cove,1,Unidentified Sculpin (J),,1,,,
CMI,3,Halibut Cove,1,Great Sculpin,142,1,,,
CMI,3,Halibut Cove,2,Starry Flounder,274,1,,,
CMI,3,Halibut Cove,2,Starry Flounder,321,1,,,
CMI,3,Halibut Cove,2,Starry Flounder,323,1,,,
CMI,3,Halibut Cove,2,Starry Flounder,286,1,,,
CMI,3,Halibut Cove,2,Alaska Plaice,365,1,,Pictures,
CMI,3,Halibut Cove,2,Dolly Varden,162,1,,,
CMI,3,Halibut Cove,2,Dolly Varden,159,1,,,
CMI,3,Halibut Cove,2,Dolly Varden,139,1,,,
CMI,3,Halibut Cove,2,Dolly Varden,229,1,,,
CMI,3,Halibut Cove,2,Dolly Varden,152,1,,,
CMI,3,Halibut Cove,2,Dolly Varden,176,1,,,
CMI,3,Halibut Cove,2,Dolly Varden,274,1,,,
CMI,3,Halibut Cove,2,Dolly Varden,166,1,,,
