Project,Round,Site,Seine#,Common,Length_mm,Count,checkID,Notes,Weight_damp_g
CMI,1,Halibut Cove,1,Staghorn Sculpin,311,1,,,
CMI,1,Halibut Cove,1,Pink Salmon,60,1,,,
CMI,1,Halibut Cove,1,Pink Salmon,50,1,,,
CMI,1,Halibut Cove,1,Pink Salmon,56,1,,Voucher,
CMI,1,Halibut Cove,1,Starry Flounder,225,1,,,
CMI,1,Halibut Cove,1,Starry Flounder,290,1,,,
CMI,1,Halibut Cove,1,Surf Smelt,140,1,,,
CMI,1,Halibut Cove,1,Crescent Gunnel,123,1,,,
CMI,1,Halibut Cove,1,Crescent Gunnel,127,1,,,
CMI,1,Halibut Cove,1,Chum Salmon,90,1,,,
CMI,1,Halibut Cove,1,Coho Salmon,91,1,,,
CMI,1,Halibut Cove,1,Coho Salmon,103,1,,,
CMI,1,Halibut Cove,1,Coho Salmon,144,1,,,
CMI,1,Halibut Cove,1,Coho Salmon,106,1,,,
CMI,1,Halibut Cove,1,Snake Prickleback,60,1,,,
CMI,1,Halibut Cove,1,Snake Prickleback,66,1,,,
CMI,1,Halibut Cove,1,Snake Prickleback,80,1,,,
CMI,1,Halibut Cove,1,Dolly Varden,135,1,,,
CMI,1,Halibut Cove,1,Dolly Varden,116,1,,,
CMI,1,Halibut Cove,1,Dolly Varden,139,1,,,
CMI,1,Halibut Cove,1,Dolly Varden,128,1,,,
CMI,1,Halibut Cove,1,Rock Sole,207,1,,,
CMI,1,Halibut Cove,1,Rock Sole,167,1,,,
CMI,1,Halibut Cove,1,Rock Sole,134,1,,,
CMI,1,Halibut Cove,1,Rock Sole,210,1,,,
CMI,1,Halibut Cove,1,English Sole,175,1,,,
CMI,1,Halibut Cove,1,Masked Greenling,75,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,125,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,132,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,140,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,125,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,135,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,147,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,132,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,136,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,132,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,140,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,134,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,139,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,120,1,,,
CMI,1,Halibut Cove,2,Dolly Varden,112,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,80,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,77,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,75,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,85,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,98,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,87,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,105,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,82,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,97,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,75,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,73,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,90,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,88,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,89,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,80,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,83,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,97,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,80,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,92,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,84,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,76,1,,,
CMI,1,Halibut Cove,2,Chum Salmon,118,1,,,
CMI,1,Halibut Cove,2,Snake Prickleback,175,1,,,
CMI,1,Halibut Cove,2,Snake Prickleback,160,1,,,
CMI,1,Halibut Cove,2,Snake Prickleback,175,1,,,
CMI,1,Halibut Cove,2,Snake Prickleback,165,1,,,
CMI,1,Halibut Cove,2,Snake Prickleback,159,1,,,
CMI,1,Halibut Cove,2,Rock Sole,117,1,,,
CMI,1,Halibut Cove,2,Rock Sole,167,1,,,
CMI,1,Halibut Cove,2,Unidentified Sculpin (J),,1,,,
CMI,1,Halibut Cove,2,Pacific Tomcod (J),200,1,,Photos - Steve,
CMI,1,Halibut Cove,2,Pacific Tomcod (J),130,1,,Photos - Steve,
CMI,1,Halibut Cove,2,Pacific Tomcod (J),130,1,,Photos - Steve,
CMI,1,Halibut Cove,2,Pacific Tomcod (J),138,1,,Photos - Steve,
CMI,1,Halibut Cove,2,Pacific Tomcod (J),137,1,,Photos - Steve,
CMI,1,Halibut Cove,2,Pacific Tomcod (J),120,1,,Photos - Steve,
CMI,1,Halibut Cove,2,Pacific Tomcod (J),140,1,,Photos - Steve,
CMI,1,Halibut Cove,2,Slender Eelblenny,65,1,,,
CMI,1,Halibut Cove,2,Masked Greenling,67,1,,,
CMI,1,Halibut Cove,3,Pink Salmon,67,1,,,
CMI,1,Halibut Cove,3,Starry Flounder,210,1,,,
CMI,1,Halibut Cove,3,Starry Flounder,157,1,,,
CMI,1,Halibut Cove,3,Starry Flounder,189,1,,,
CMI,1,Halibut Cove,3,Dolly Varden,150,1,,,
