SeineID,Temperature_C,Salinity,DO_mgL,DO_perc,Turbidity_FNU
2106WS1,10.1,,,109.1,
2106WS2,10.2,,,116.3,
2106WS3,10,,,108.6,
2106PC1,10.1,,,108.7,
2106PC2,10.2,,,106.9,
2106PC3,10.2,,,107.8,
2106JB1,9.7,31.1,13.28,141.7,
2106HI1,9.2,31.3,13.49,140.12,
2107BA1,9.2,25.07,10.44,103.2,
2107BA2,9.4,24.91,9.91,101.9,
2107BA3,9.3,25.41,10.29,105.7,
2107BB1,9.2,25.72,10.39,106.6,
2107BB2,9.2,25.68,10.13,104.3,
2107BB3,9.3,25.66,10.23,105.3,
