SeineID,Temperature_C,Salinity,DO_mgL,DO_perc,Turbidity_FNU
230620CP1,9.8,30.2,11.7,124.5,
230620CP2,9.5,30.7,11.8,124.8,
230620CP3,10.1,30.1,11.42,122.6,
230720CP1,9.9,27.1,10.62,111.8,
230720CP2,10.4,26.9,11.35,120.9,
230720CP3,10.2,28.6,11.1,118.7,
230720CP4,10.9,27.3,11.5,123,
230821CP1,11.2,27.3,10.3,110.3,
230821CP2,11.3,28.8,10,109.4,
230821CP3,11.3,29,10.38,113.5,
230821CP4,11.3,29,10.38,113.5,
