Species,Number
Armorhead Sculpin,18
Coho Salmon,1
Crescent Gunnel,3
Dolly Varden,79
Graceful Decorator Crab,5
Great Sculpin,30
Helmut Crab,5
Hermit Crab,3
Pacific Cod,2
Pacific Halibut,117
Pacific Herring,1079
Pacific Sand Lance,47
Pink Salmon,2
Rock Sole,102
Saffron Cod,3
Sand Shrimp,56
Sand Sole,10
Sandfish,1
Scalyhead Sculpin,1
Showy Snailfish,1
Snailfish,8
Snake Prickleback,124
Sockeye Salmon,3
Staghorn Sculpin,6
Starry Flounder,3
Sturgeon Poacher,106
Surf Smelt,3
Three Spine Stickleback,2
Tubenose Poacher,13
Unidentified Flatfish,94
Unidentified Gunnel,1
Unidentified Sculpin,59
