SiteID,Location,Raw Site,Latitude,Longitude,Habitat
1,Homer Spit,Coal Point,59.62007563157895,-151.44069663157896,Sand/Gravel
2,Plumb Bluff,Plumb Bluff,59.91717285714286,-151.75912571428572,Kelp/Sand/Gravel
3,Anchor Point,Anchor Point,59.76775428571429,-151.85787,Sand/Gravel
4,Moosehead Point,Moosehead Point,59.57891333333333,-151.31672333333333,Sand/Gravel
5,Whiskey Gulch,Whiskey Gulch,59.83065,-151.82559666666666,Sand/Gravel
