SiteID,Lat,Lon
1,58.573433335000004,-134.92524165
1,58.5752,-134.9263166
10,58.5547222,-134.90222219999998
101,58.25515,-134.9082
103,57.37638889,-134.1836111
104,57.38722222,-134.17611110000001
105,57.36722222,-134.1377778
106,57.33777778,-134.1222222
107,55.36583333,-133.5855556
108,55.358981480000004,-133.58768516666666
1083,58.6851,-134.946467
1084,58.5197,-134.85096
1085,59.661817,-151.170433
1086,59.601417,-151.167483
1087,59.451013,-151.50602
1088,58.3453667,-134.524167
1089,58.329233,-134.60845
1090,58.26145,-134.334567
1091,59.420369,-151.306006
1092,59.55589,-151.3659
111,56.254444445000004,-134.66430555
113,57.242638889999995,-134.8763889
1137,67.05549,-163.22311
1138,67.05922,-163.26697000000001
1142,67.05576,-163.22145
1143,67.0558,-163.22127
115,57.75972222,-135.7930556
116,57.74305556,-135.7930556
117,57.26972222,-134.8683333
1172,67.0558,-163.22127
1177,67.06604,-163.34491
118,57.26555556,-134.8858333
1182,67.06661333333334,-163.34239666666667
1182,67.0668,-163.34901
1187,66.53041,-164.72633
119,58.049858334999996,-135.67155000000002
119,58.04971667,-135.6706
1191,65.901095,-167.2444
1195,65.903437,-167.23961
1196,67.34508,-163.81944
1197,67.34568,-163.82076
1198,67.34581,-163.82045
12,58.546249950000004,-134.9230555
1202,67.34618,-163.81861
1206,67.348044,-163.81977
121,58.03277778,-135.6422222
1219,67.389441,-163.84466600000002
122,58.05222222,-135.6458333
1223,67.3895,-163.85854
123,58.110277775,-136.27694445
123,58.11111111,-136.2788889
1232,67.346086,-163.818484
1242,67.12978,-163.51254
1248,67.13029,-163.51117
125,58.15527778,-136.3080556
1255,67.13126,-163.5169
1258,67.13141,-163.50754
1259,67.13152,-163.51042
126,58.12972222,-136.3
1263,67.13202,-163.51012
1266,67.13242,-163.51787
127,57.53138889,-134.97638890000002
1278,67.14414,-163.50748
1279,67.14416,-163.50758
1280,67.14471,-163.51021
1281,67.14491,-163.51122
1285,67.16216,-163.59747
1286,67.16220999999999,-163.73554000000001
129,57.525833335,-134.96722219999998
1296,67.13043,-163.512627
13,58.5480555,-134.9255555
1304,67.27766,-163.77054
1305,67.27839,-163.77165
1307,67.0627,-163.30469
1308,67.062615,-163.305935
131,55.577494445,-133.09427219999998
1315,67.063,-163.30658
1317,67.06695,-163.34492
1318,67.07357,-163.3705
1320,67.06289,-163.30603
1321,67.06624,-163.32917
1325,67.14477,-163.57093
1329,67.067741,-163.34448
133,55.56208333,-133.0995833
1330,67.05863,-163.25677
1340,67.34601,-163.82133
1349,67.0593,-163.26498
135,55.500555555,-133.1659722
137,55.487316665,-133.1414167
1372,67.056883,-163.219036
1373,67.134581,-163.543982
1374,67.391102,-163.842062
1375,67.058824,-163.245841
1377,67.246222,-163.751696
1379,59.60766,-151.421507
1380,59.48277077,-151.6548254
1381,59.4192504,-151.3040432
1382,59.79375333,-151.8581483
1383,59.59323564,-151.1699358
1384,59.5748875,-151.294185
1385,59.65357667,-151.1927339
1386,59.43532846,-151.7149185
1387,59.57870735,-151.3085477
1388,59.48218353,-151.6346473
1389,59.4418,-151.71947
1391,59.79374083,-151.8583875
1392,59.41951211,-151.303589
1393,59.57869063,-151.3803494
1394,59.59288944,-151.1684967
1395,59.77270538,-151.8691497
1396,60.05420713,-151.6730467
1397,59.91455917,-151.7601333
1398,57.83779433,-152.439541
1399,57.81482367,-152.424909
14,58.50249995,-134.8666666
1400,59.47233,-151.51973
1401,59.48267,-151.51926
1402,59.48031,-151.62527
141,55.535972220000005,-133.1054167
143,55.50986111,-133.13180555
143,55.5098597225,-133.131808325
145,55.509858335000004,-133.1318111
147,56.19013889,-132.30986109999998
149,56.225277774999995,-132.3801389
15,58.5019444,-134.8663888
151,56.156203706666666,-132.6951852
1521,54.126923,-165.809749
1521,54.1312005,-165.809332
1522,54.13049,-165.82239325
1523,54.145628,-165.734907
1526,54.125489,-165.797241
1528,54.131826,-165.822604
1529,54.135145,-165.799687
1530,54.11697,-165.728813
1533,54.113008,-165.737353
1535,54.133770999999996,-165.78594950000002
1539,59.70255,-151.1078
154,56.1625,-132.71
1540,51.7798,-176.809235
1542,51.85358,-176.7442
1543,51.91339,-176.56541000000001
1544,51.89924,-176.62074
1545,51.746965,-176.84409
1547,51.74552,-176.82899
1548,51.67776,-176.95207
1549,51.72252,-176.83415
155,55.77333333,-133.53402775
1550,51.64313,-176.806175
1552,51.6606,-176.64891
1553,51.67484,-176.63486
1554,51.75521,-176.52139
1555,51.774865000000005,-176.44036
1557,51.9803775,-175.88195
1559,51.83629,-176.14082
1561,51.8289,-176.12143
1562,51.79784,-176.1675
1563,51.81217,-176.13684
1564,52.65134,-170.75113
1565,56.19755,-156.79077
1566,55.06981,-159.76508
1567,55.06818,-159.78026
1568,55.1089,-159.73375
1569,55.13522,-159.86259
157,55.757222225,-133.4709722
1570,55.12706,-159.84164
1571,51.9829,-175.88939
1573,52.03113,-175.11563
1574,52.00232,-176.062045
1576,51.92559,-175.78078
1577,51.99766,-176.10692
1578,51.99235,-176.09102
