SiteID,Location,Raw Site,Latitude,Longitude,Habitat
1,Anchor River,Anchor River,59.79374083333333,-151.8583875,Sand/Gravel
2,Tutka River,Tutka River,59.41951210526316,-151.30358894736844,Sand/Gravel
3,Moosehead Point,Moosehead Point,59.578690625,-151.317849375,Sand/Gravel
4,Halibut Cove,Halibut Cove,59.592889444444445,-151.16849666666667,Sand/Gravel
